DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-02-21 07:00:00,0.0,1013.89,23.06,72.65,3844.58,2.85
2024-02-21 07:10:00,0.07,1014.01,23.39,72.08,6226.67,5.45
2024-02-21 07:20:00,0.18,1014.2,25.21,64.98,37923.13,231.07
2024-02-21 07:30:00,0.44,1014.43,30.15,47.94,47846.65,429.49
2024-02-21 07:40:00,0.02,1014.48,33.74,39.88,56587.0,579.89
2024-02-21 07:50:00,0.0,1014.58,36.42,34.38,64114.83,716.03
2024-02-21 08:00:00,0.0,1014.53,38.49,30.8,70927.87,847.34
2024-02-21 08:10:00,0.0,1014.54,39.64,28.27,77160.33,973.83
2024-02-21 08:20:00,0.16,1014.63,39.93,27.13,83198.37,1088.65
2024-02-21 08:30:00,0.06,1014.66,39.55,26.52,89280.97,1198.71
2024-02-21 08:40:00,0.09,1014.75,40.89,24.88,95518.28,1305.07
2024-02-21 08:50:00,0.11,1014.79,41.72,24.12,100466.51,1374.89
2024-02-21 09:00:00,0.07,1014.76,42.48,23.84,104903.17,1426.89
2024-02-21 09:10:00,0.03,1014.67,44.45,21.36,110428.74,1469.53
2024-02-21 09:20:00,0.03,1014.61,45.02,18.83,115028.15,1510.83
2024-02-21 09:30:00,0.05,1014.53,44.73,19.21,117701.78,1546.86
2024-02-21 09:40:00,0.15,1014.44,45.39,18.76,117758.2,1577.82
2024-02-21 09:50:00,0.2,1014.31,44.84,18.22,117758.2,1612.55
2024-02-21 10:00:00,0.14,1014.12,45.15,18.14,117758.2,1626.31
2024-02-21 10:10:00,0.54,1013.94,44.61,17.89,117758.2,1660.55
2024-02-21 10:20:00,0.45,1013.77,44.67,18.03,117758.2,1672.73
2024-02-21 10:30:00,0.15,1013.65,45.52,17.55,117758.2,1652.85
2024-02-21 10:40:00,0.09,1013.44,47.22,16.56,117758.2,1630.73
2024-02-21 10:50:00,0.06,1013.21,47.98,15.53,117758.2,1626.22
2024-02-21 11:00:00,0.14,1012.97,47.38,16.37,117758.2,1652.49
2024-02-21 11:10:00,0.19,1012.76,47.06,16.99,117758.2,1661.05
2024-02-21 11:20:00,0.6,1012.45,46.89,17.58,117758.2,1677.3
2024-02-21 11:30:00,1.6,1012.19,43.43,21.66,117758.2,1741.18
2024-02-21 11:40:00,1.86,1011.95,41.54,25.6,117758.2,1754.04
2024-02-21 11:50:00,1.81,1011.78,40.82,27.18,117758.2,1746.08
2024-02-21 12:00:00,1.88,1011.59,40.22,28.07,117758.2,1735.25
2024-02-21 12:10:00,1.96,1011.46,39.56,29.48,117758.2,1742.98
2024-02-21 12:20:00,1.73,1011.28,39.46,29.22,117758.2,1722.42
2024-02-21 12:30:00,1.78,1011.04,39.4,29.74,117758.2,1680.7
2024-02-21 12:40:00,2.46,1010.88,39.11,30.41,95573.98,1316.4
2024-02-21 13:40:00,1.8,1009.67,29.33,54.87,8545.69,11.3
2024-02-21 13:50:00,1.87,1009.68,29.27,54.63,8830.5,12.6
2024-02-21 14:00:00,1.13,1009.59,29.24,54.99,8007.92,10.21
2024-02-21 14:10:00,2.03,1009.52,29.22,55.68,7496.25,9.45
2024-02-21 14:20:00,1.7,1009.46,29.02,56.26,7151.25,8.52
2024-02-21 14:30:00,1.92,1009.46,28.96,56.88,6560.67,7.01
2024-02-21 14:40:00,1.67,1009.41,28.63,58.1,6607.92,6.38
