DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-02-21 07:00:00,0.0,1013.888,23.065,72.65299999999999,3844.584,2.852
2024-02-21 07:10:00,0.069,1014.007,23.39,72.084,6226.666,5.453
2024-02-21 07:20:00,0.182,1014.198,25.213,64.978,37923.132,231.071
2024-02-21 07:30:00,0.445,1014.431,30.152,47.936,47846.647,429.492
2024-02-21 07:40:00,0.017,1014.476,33.739,39.884,56587.003,579.887
2024-02-21 07:50:00,0.0,1014.577,36.421,34.378,64114.833,716.033
2024-02-21 08:00:00,0.0,1014.529,38.487,30.799,70927.86600000001,847.3369999999999
2024-02-21 08:10:00,0.0,1014.539,39.636,28.272,77160.32800000001,973.832
2024-02-21 08:20:00,0.157,1014.629,39.93,27.128,83198.365,1088.65
2024-02-21 08:30:00,0.061,1014.663,39.553,26.517000000000003,89280.969,1198.707
2024-02-21 08:40:00,0.086,1014.752,40.887,24.881,95518.28,1305.0700000000002
2024-02-21 08:50:00,0.113,1014.793,41.72,24.124,100466.509,1374.888
2024-02-21 09:00:00,0.0699999999999999,1014.761,42.477,23.836,104903.171,1426.894
2024-02-21 09:10:00,0.026,1014.673,44.454,21.365,110428.744,1469.527
2024-02-21 09:20:00,0.0288888888888888,1014.6133333333332,45.02444444444445,18.826666666666668,115028.14555555554,1510.8277777777778
2024-02-21 09:30:00,0.052,1014.534,44.729,19.21,117701.778,1546.859
2024-02-21 09:40:00,0.1544444444444444,1014.441111111111,45.394444444444446,18.764444444444443,117758.2,1577.8244444444445
2024-02-21 09:50:00,0.199,1014.308,44.843,18.22,117758.2,1612.5549999999998
2024-02-21 10:00:00,0.138,1014.115,45.148,18.135,117758.2,1626.31
2024-02-21 10:10:00,0.541,1013.945,44.613,17.891,117758.2,1660.554
2024-02-21 10:20:00,0.452,1013.767,44.668,18.033,117758.2,1672.727
2024-02-21 10:30:00,0.146,1013.649,45.519,17.546,117758.2,1652.8529999999998
2024-02-21 10:40:00,0.087,1013.44,47.223,16.564,117758.2,1630.73
2024-02-21 10:50:00,0.06375,1013.21375,47.97625,15.52625,117758.2,1626.22375
2024-02-21 11:00:00,0.1433333333333333,1012.9744444444444,47.376666666666665,16.37222222222222,117758.2,1652.486666666667
2024-02-21 11:10:00,0.1933333333333333,1012.7555555555556,47.05555555555556,16.99111111111111,117758.2,1661.0466666666666
2024-02-21 11:20:00,0.6,1012.453,46.891,17.581,117758.2,1677.2989999999998
2024-02-21 11:30:00,1.602,1012.187,43.43,21.66,117758.2,1741.177
2024-02-21 11:40:00,1.863,1011.949,41.539,25.597,117758.2,1754.039
2024-02-21 11:50:00,1.812,1011.779,40.822,27.175,117758.2,1746.083
2024-02-21 12:00:00,1.883,1011.588,40.224,28.068,117758.2,1735.2490000000005
2024-02-21 12:10:00,1.959,1011.459,39.562,29.475,117758.2,1742.985
2024-02-21 12:20:00,1.7260000000000002,1011.282,39.458,29.216,117758.2,1722.42
2024-02-21 12:30:00,1.784,1011.044,39.403,29.743,117758.2,1680.699
2024-02-21 12:40:00,2.462857142857142,1010.88,39.11,30.40714285714285,95573.98,1316.3957142857143
2024-02-21 13:40:00,1.8033333333333332,1009.67,29.33,54.86666666666667,8545.693333333335,11.303333333333333
2024-02-21 13:50:00,1.872,1009.676,29.271,54.63,8830.501,12.6
2024-02-21 14:00:00,1.132,1009.594,29.239,54.991,8007.916999999999,10.206
2024-02-21 14:10:00,2.027,1009.516,29.219,55.67999999999999,7496.249000000001,9.454
2024-02-21 14:20:00,1.7,1009.456,29.024,56.258,7151.25,8.517
2024-02-21 14:30:00,1.925,1009.458,28.963,56.883,6560.667,7.01
2024-02-21 14:40:00,1.6740000000000002,1009.41,28.630000000000003,58.1,6607.916,6.38
2024-02-21 14:50:00,2.177,1009.434,28.487,58.947,8493.666000000001,11.755
2024-02-21 15:00:00,1.639,1009.421,28.382,59.122,9738.083,15.381
2024-02-21 15:10:00,1.48,1009.407,28.643,58.459,10061.335,16.609
2024-02-21 15:20:00,1.941,1009.458,28.437,59.402,8648.664999999999,12.479
2024-02-21 15:30:00,1.925,1009.457,28.052,60.458000000000006,7422.082,9.57
2024-02-21 15:40:00,1.777,1009.511,27.714,61.02,4899.0830000000005,4.392
2024-02-21 15:50:00,1.385,1009.575,27.542,61.625,4139.3330000000005,3.172
2024-02-21 16:00:00,1.829,1009.709,27.345,62.272000000000006,3618.333,2.472
2024-02-21 16:10:00,1.829,1009.775,27.053,63.122,2648.084,1.411
2024-02-21 16:20:00,1.714,1009.854,26.929,64.236,1851.501,0.743
2024-02-21 16:30:00,1.36,1009.984,26.883,64.188,1898.666,0.736
2024-02-21 16:40:00,1.0719999999999998,1010.006,26.887,64.733,1448.749,0.482
2024-02-21 16:50:00,1.166,1010.069,26.860000000000003,64.741,1496.917,0.498
2024-02-21 17:00:00,0.487,1010.244,27.036,64.591,1442.417,0.473
2024-02-22 07:00:00,0.0,1014.366,24.402,65.66499999999999,4966.5830000000005,5.205
2024-02-22 07:10:00,0.0,1014.436,24.815,64.28200000000001,7054.75,10.407
2024-02-22 07:20:00,0.0,1014.507,25.175,63.220000000000006,6536.0,7.409000000000001
2024-02-22 07:30:00,0.0,1014.609,25.997000000000003,60.258,14439.249,58.229
2024-02-22 07:40:00,0.0,1014.704,28.361,53.148,18531.082,70.519
2024-02-22 07:50:00,0.0,1014.862,30.383,47.748000000000005,27815.319,185.08
2024-02-22 08:00:00,0.078,1014.876,28.469,51.058,13347.666,28.779
2024-02-22 08:10:00,0.088,1014.995,32.781,42.81,69825.133,868.778
2024-02-22 08:20:00,0.0,1015.092,37.672,33.106,69305.254,851.564
2024-02-22 08:30:00,0.235,1015.066,39.272000000000006,29.083,78821.71900000001,971.221
2024-02-22 08:40:00,0.0,1015.15,39.105,28.880000000000003,71651.65400000001,913.563
2024-02-22 08:50:00,0.235,1015.268,42.058,24.557,95049.475,1260.825
2024-02-22 09:00:00,0.217,1015.226,42.661,24.113,99824.846,1340.539
2024-02-22 09:10:00,0.0349999999999999,1015.287,44.58,21.395,105385.634,1390.788
2024-02-22 09:20:00,0.313,1015.281,45.097,21.51,110423.712,1463.005
2024-02-22 09:30:00,0.0,1015.246,44.072,21.046,102365.446,1306.434
2024-02-22 12:00:00,1.7999999999999998,1014.01,43.86333333333334,22.876666666666665,107233.91666666669,1696.9316666666666
2024-02-22 12:10:00,1.4383333333333332,1013.86,38.348333333333336,30.040000000000003,67554.36833333333,945.4683333333332
2024-02-22 12:20:00,1.74125,1013.70875,36.9525,32.16,78504.06,1034.27875
2024-02-22 12:30:00,2.05625,1013.645,37.0675,32.12625,58758.72625,703.9225
2024-02-22 12:40:00,1.838,1013.491,37.071,32.514,62558.864,732.12
2024-02-22 12:50:00,2.088,1013.32,33.444,40.166,25869.668,108.192
2024-02-22 14:00:00,0.9585714285714284,1013.0914285714288,28.107142857142858,57.97857142857144,6756.012857142857,8.105714285714287
2024-02-22 14:10:00,1.132,1013.094,28.134,57.292,6615.416,7.770999999999999
2024-02-22 14:20:00,0.75,1013.065,28.145,57.496,6824.832,8.142
2024-02-22 14:30:00,0.661,1013.079,28.285000000000004,58.301,7265.999000000001,9.115
2024-02-22 14:40:00,0.663,1013.097,28.326,58.584,7773.833,10.256
2024-02-22 14:50:00,0.914,1013.13,28.072000000000003,59.06,9311.751,14.323
2024-02-22 15:00:00,1.366,1013.161,27.758,58.294,7795.334,10.355
2024-02-22 15:10:00,0.505,1013.155,27.657,58.028,7271.914999999999,8.851
2024-02-22 15:20:00,0.0,1013.188,28.214,57.218,4315.916,3.5410000000000004
2024-02-22 15:30:00,1.289,1013.267,27.675,61.091,1218.417,0.374
2024-02-22 15:40:00,0.1399999999999999,1013.413,26.946,64.189,1154.751,0.3399999999999999
2024-02-22 15:50:00,0.21,1013.599,26.046,69.41900000000001,2594.999,1.25
2024-02-22 16:00:00,0.0,1013.71,24.74,76.67,718.75,0.23
2024-02-22 16:10:00,0.0,1013.7642857142856,24.502857142857145,78.06714285714285,944.5242857142856,0.2328571428571428
2024-02-22 16:20:00,0.043,1013.793,24.282,79.44500000000001,1136.418,0.3
2024-02-22 16:30:00,0.0349999999999999,1013.903,24.121,78.816,1255.75,0.371
2024-02-22 16:40:00,0.0,1014.008,23.999,79.873,1167.167,0.328
2024-02-22 16:50:00,0.0,1014.085,23.904000000000003,81.564,836.4190000000001,0.16
2024-02-22 17:00:00,0.0349999999999999,1014.227,23.867,82.088,373.333,0.04
2024-02-23 07:00:00,0.0,1018.946,19.407,87.00699999999999,699.9159999999999,0.336
2024-02-23 07:10:00,0.0,1019.025,19.645,87.503,1043.167,0.638
2024-02-23 07:20:00,0.0,1019.104,19.62,86.076,1337.249,0.972
2024-02-23 07:30:00,0.0,1019.169,19.687,85.874,1532.749,1.229
2024-02-23 07:40:00,0.0,1019.14,19.72,86.65,1616.67,1.37
2024-02-23 09:00:00,0.2175,1019.7475,20.6825,83.2325,7181.405,18.03
2024-02-23 09:10:00,0.1399999999999999,1019.809,20.971,81.739,8645.083,24.505
2024-02-23 09:20:00,0.0,1019.807,21.081,81.805,7025.167,14.838
2024-02-23 09:30:00,0.079,1019.808,21.188,80.7,6786.166,14.543
2024-02-23 09:40:00,0.069,1019.794,21.192,80.182,6318.916,11.957
2024-02-23 09:50:00,0.149,1019.784,21.052,78.991,6818.835000000001,11.824000000000002
2024-02-23 10:00:00,0.044,1019.79,21.088,78.375,7010.582,12.165
2024-02-23 10:10:00,0.183,1019.781,21.034,78.296,6435.667,12.861
2024-02-23 10:20:00,0.087,1019.805,21.002,77.49199999999999,6323.916,12.282
