Date,Start Time,End Time
2024-03-03,07:00:00,12:10:00
2024-03-16,09:00:00,17:00:00
2024-03-22,09:00:00,17:00:00
2024-04-07,07:00:00,17:00:00
2024-04-08,07:00:00,17:00:00
2024-04-09,07:00:00,13:00:00
2024-04-14,09:00:00,17:00:00
2024-04-22,09:00:00,17:00:00
2024-04-24,07:00:00,17:00:00
2024-04-25,07:00:00,08:40:00
2024-04-26,07:00:00,17:00:00
2024-04-27,07:00:00,17:00:00
2024-04-28,07:00:00,13:00:00
2024-04-30,16:00:00,17:00:00
2024-05-01,07:00:00,17:00:00
2024-05-02,07:00:00,17:00:00
2024-05-13,09:00:00,17:00:00
2024-05-15,07:00:00,15:40:00
2024-05-17,09:00:00,17:00:00
2024-05-19,09:00:00,17:00:00
2024-05-24,16:40:00,17:00:00
2024-05-25,07:00:00,08:10:00
2024-05-25,08:30:00,17:00:00
2024-05-26,07:00:00,08:50:00
2024-05-29,07:00:00,17:00:00
2024-05-30,07:00:00,17:00:00
2024-05-31,07:00:00,17:00:00
2024-06-01,07:00:00,17:00:00
2024-06-02,07:00:00,17:00:00
2024-06-03,07:00:00,17:00:00
2024-06-04,07:00:00,13:50:00
2024-06-08,09:00:00,17:00:00
2024-06-24,07:00:00,17:00:00
2024-06-25,07:00:00,13:00:00
2024-06-29,09:00:00,17:00:00
2024-07-02,07:00:00,17:00:00
2024-07-10,07:00:00,12:40:00
